ID,key_json,value_json
33,32,"111.94.119.70 - - [04/Aug/2021:13:33:44 +0700] ""GET /a/3pl/dash/kpi/courier/WAX22275 HTTP/1.1"" 200 152 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.419 uct=""0.000"" uht=""0.419"" urt=""0.419"" gz=""1.66"""
34,33,"120.188.67.102 - - [04/Aug/2021:13:33:44 +0700] ""GET /a/3pl/dash/kpi/courier/WAX22045 HTTP/1.1"" 200 158 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.429 uct=""0.000"" uht=""0.429"" urt=""0.429"" gz=""1.61"""
35,34,"182.0.147.148 - - [04/Aug/2021:13:33:44 +0700] ""GET /a/query/drpGetTransport?id=Dmb041 HTTP/1.1"" 200 276 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.020 uct=""0.001"" uht=""0.021"" urt=""0.021"" gz=""2.16"""
36,35,"103.10.66.14 - - [04/Aug/2021:13:33:44 +0700] ""GET /a/query/dcafGetAppMenu HTTP/1.1"" 200 1170 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.016 uct=""0.000"" uht=""0.015"" urt=""0.015"" gz=""8.22"""
37,36,"116.206.29.29 - - [04/Aug/2021:13:33:44 +0700] ""GET /a/3pl/csn/cur/WAX22317?consignmentId=42NLCR1A&referenceType=32 HTTP/1.1"" 200 586 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.916 uct=""0.000"" uht=""0.915"" urt=""0.915"" gz=""2.26"""
38,37,"114.124.143.48 - - [04/Aug/2021:13:33:44 +0700] ""GET /a/3pl/csn/cur/WAX22233?consignmentId=LUY18LTA&referenceType=32 HTTP/1.1"" 200 580 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.854 uct=""0.001"" uht=""0.855"" urt=""0.855"" gz=""2.29"""
39,38,"120.188.39.223 - - [04/Aug/2021:13:33:44 +0700] ""GET /a/query/drpGetLogisticRole?login=WAX23766 HTTP/1.1"" 200 537 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.024 uct=""0.000"" uht=""0.025"" urt=""0.025"" gz=""3.42"""
40,39,"120.188.39.223 - - [04/Aug/2021:13:33:44 +0700] ""GET /a/query/drpGetJenisPenerima HTTP/1.1"" 200 287 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.018 uct=""0.000"" uht=""0.018"" urt=""0.018"" gz=""2.44"""
41,40,"140.213.13.20 - - [04/Aug/2021:13:33:44 +0700] ""GET /a/3pl/csn/cur/WAX22317?consignmentId=28bjegyn&referenceType=32 HTTP/1.1"" 200 568 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.837 uct=""0.000"" uht=""0.836"" urt=""0.836"" gz=""2.32"""
42,41,"114.124.179.124 - - [04/Aug/2021:13:33:44 +0700] ""GET /a/3pl/csn/cur/WAX22059?consignmentId=0949972797757&referenceType=32 HTTP/1.1"" 400 280 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.699 uct=""0.001"" uht=""0.699"" urt=""0.699"" gz=""-"""
43,42,"140.213.15.127 - - [04/Aug/2021:13:33:45 +0700] ""GET /a/3pl/csn/cur/WAX23565?consignmentId=Ym74lbr5&referenceType=64&detail=1 HTTP/1.1"" 200 5548 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.890 uct=""0.000"" uht=""0.886"" urt=""0.890"" gz=""6.32"""
44,43,"182.2.133.94 - - [04/Aug/2021:13:33:45 +0700] ""GET /a/3pl/csn/cur/WAX22317?consignmentId=LXD2ET5B&referenceType=32 HTTP/1.1"" 200 550 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.917 uct=""0.000"" uht=""0.917"" urt=""0.918"" gz=""2.35"""
45,44,"36.81.15.33 - - [04/Aug/2021:13:33:45 +0700] ""GET /a/3pl/dash/kpi/courier/WAX24357 HTTP/1.1"" 200 159 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.392 uct=""0.000"" uht=""0.391"" urt=""0.391"" gz=""1.60"""
46,45,"116.206.29.29 - - [04/Aug/2021:13:33:45 +0700] ""GET /a/3pl/csn/cur/WAX22317?consignmentId=42NLCR1A&referenceType=32 HTTP/1.1"" 200 586 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.909 uct=""0.000"" uht=""0.909"" urt=""0.909"" gz=""2.26"""
47,46,"114.124.143.48 - - [04/Aug/2021:13:33:45 +0700] ""GET /a/3pl/csn/cur/WAX22233?consignmentId=LUY18LTA&referenceType=32 HTTP/1.1"" 200 580 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.884 uct=""0.000"" uht=""0.883"" urt=""0.883"" gz=""2.29"""
48,47,"112.215.151.145 - - [04/Aug/2021:13:33:45 +0700] ""POST /a/auth HTTP/1.1"" 401 205 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.013 uct=""0.000"" uht=""0.012"" urt=""0.012"" gz=""-"""
49,48,"114.79.7.49 - - [04/Aug/2021:13:33:45 +0700] ""GET /a/3pl/dash/kpi/courier/WAX24384 HTTP/1.1"" 200 133 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.413 uct=""0.000"" uht=""0.413"" urt=""0.413"" gz=""1.91"""
50,49,"112.215.238.27 - - [04/Aug/2021:13:33:45 +0700] ""POST /a/3pl/trn/ldl HTTP/1.1"" 200 377 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.562 uct=""0.000"" uht=""0.132"" urt=""0.132"" gz=""1.95"""
51,50,"114.124.211.75 - - [04/Aug/2021:13:33:46 +0700] ""GET /a/3pl/csn?id=KMKP8BGW&register=0&location=JME&latitude=-6.3021119&longitude=106.8037612&reference=TML%2FWAX22089%40JME HTTP/1.1"" 200 5441 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.695 uct=""0.000"" uht=""0.691"" urt=""0.696"" gz=""9.23"""
52,51,"116.206.29.109 - - [04/Aug/2021:13:33:46 +0700] ""GET /a/query/drpGetEmpByEmpId?empcd=55202072&coycd=WAX HTTP/1.1"" 200 355 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.019 uct=""0.000"" uht=""0.019"" urt=""0.019"" gz=""2.50"""
53,52,"180.252.117.33 - - [04/Aug/2021:13:33:46 +0700] ""GET /a/query/drpGetEmpByEmpId?empcd=55201644&coycd=WAX HTTP/1.1"" 200 354 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.022 uct=""0.000"" uht=""0.023"" urt=""0.023"" gz=""2.53"""
54,53,"114.124.242.79 - - [04/Aug/2021:13:33:46 +0700] ""GET /a/3pl/csn/cur/WAX24449?consignmentId=Y4a17bcj&referenceType=64&detail=1 HTTP/1.1"" 200 5813 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.839 uct=""0.000"" uht=""0.836"" urt=""0.839"" gz=""6.81"""
55,54,"182.0.132.39 - - [04/Aug/2021:13:33:46 +0700] ""GET /a/3pl/csn/cur/WAX22047?consignmentId=CD7ZMZ99&referenceType=32 HTTP/1.1"" 200 601 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.839 uct=""0.001"" uht=""0.840"" urt=""0.840"" gz=""2.27"""
56,55,"182.2.39.98 - - [04/Aug/2021:13:33:46 +0700] ""POST /a/auth HTTP/1.1"" 200 462 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.026 uct=""0.001"" uht=""0.026"" urt=""0.027"" gz=""1.29"""
57,56,"114.124.179.124 - - [04/Aug/2021:13:33:46 +0700] ""GET /a/3pl/csn/cur/WAX22059?consignmentId=3701321124730&referenceType=32 HTTP/1.1"" 400 280 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.631 uct=""0.000"" uht=""0.631"" urt=""0.631"" gz=""-"""
58,57,"103.10.66.69 - - [04/Aug/2021:13:33:46 +0700] ""POST /a/3pl/trn/lml HTTP/1.1"" 200 183 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.310 uct=""0.000"" uht=""0.068"" urt=""0.068"" gz=""1.36"""
59,58,"116.206.13.87 - - [04/Aug/2021:13:33:46 +0700] ""GET /a/3pl/dash/mon/hub/KRX/DMT?day=7 HTTP/1.1"" 200 585 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.042 uct=""0.001"" uht=""0.042"" urt=""0.042"" gz=""9.97"""
60,59,"120.188.39.223 - - [04/Aug/2021:13:33:46 +0700] ""GET /a/3pl/dash/kpi/courier/WAX23766 HTTP/1.1"" 200 162 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.435 uct=""0.000"" uht=""0.436"" urt=""0.436"" gz=""1.59"""
61,60,"114.4.212.124 - - [04/Aug/2021:13:33:47 +0700] ""POST /a/3pl/trn/ldl HTTP/1.1"" 200 399 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.529 uct=""0.000"" uht=""0.099"" urt=""0.099"" gz=""1.88"""
62,61,"223.255.229.31 - - [04/Aug/2021:13:33:47 +0700] ""GET /a/3pl/csn?id=U2C8BBKN&register=0&location=KBX&latitude=-6.3247745&longitude=106.7288082&reference=TML%2FWAX23240%40KBX HTTP/1.1"" 200 7228 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.764 uct=""0.000"" uht=""0.757"" urt=""0.763"" gz=""9.22"""
63,62,"182.2.39.98 - - [04/Aug/2021:13:33:47 +0700] ""GET /a/3pl/dash/kpi/courier/WAX25092 HTTP/1.1"" 200 133 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.421 uct=""0.000"" uht=""0.421"" urt=""0.421"" gz=""1.91"""
64,63,"112.215.235.137 - - [04/Aug/2021:13:33:47 +0700] ""GET /a/3pl/csn/cur/WAX23220?consignmentId=5T4MGDK2&referenceType=32 HTTP/1.1"" 200 608 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.872 uct=""0.001"" uht=""0.873"" urt=""0.873"" gz=""2.23"""
65,64,"182.0.132.39 - - [04/Aug/2021:13:33:47 +0700] ""GET /a/3pl/csn/cur/WAX22047?consignmentId=CD7ZMZ99&referenceType=32 HTTP/1.1"" 200 601 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.856 uct=""0.001"" uht=""0.857"" urt=""0.857"" gz=""2.27"""
66,65,"114.124.179.124 - - [04/Aug/2021:13:33:47 +0700] ""GET /a/3pl/csn/cur/WAX22059?consignmentId=FRG5LD28&referenceType=32 HTTP/1.1"" 200 603 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.826 uct=""0.001"" uht=""0.826"" urt=""0.826"" gz=""2.23"""
