id,key_json,value_json
43,42,"{address space usage: 963911680 bytes/919MB} {rss usage: 271671296 bytes/259MB} [pid: 28136|app: 0|req: 33/44] 182.2.135.93 () {56 vars in 1464 bytes} [Wed Aug  4 14:41:55 2021] GET /a/3pl/dash/kpi/courier/WAX23515 => generated 241 bytes in 356 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 7)"
44,43,"{address space usage: 963911680 bytes/919MB} {rss usage: 276840448 bytes/264MB} [pid: 28136|app: 0|req: 34/45] 223.255.230.52 () {46 vars in 1270 bytes} [Wed Aug  4 14:41:57 2021] GET /a/3pl/dash/kpi/courier/WAX24378 => generated 241 bytes in 414 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 3)"
45,44,"{address space usage: 964046848 bytes/919MB} {rss usage: 276881408 bytes/264MB} [pid: 28136|app: 0|req: 35/46] 120.188.35.205 () {60 vars in 1914 bytes} [Wed Aug  4 14:41:58 2021] GET /a/query/drpGetLogisticRole?login=WAX23555 => generated 1799 bytes in 21 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 0)"
46,45,"{address space usage: 964046848 bytes/919MB} {rss usage: 276934656 bytes/264MB} [pid: 28136|app: 0|req: 36/47] 120.188.35.205 () {60 vars in 1887 bytes} [Wed Aug  4 14:41:58 2021] GET /a/query/drpGetJenisPenerima => generated 671 bytes in 16 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 1)"
47,46,"{address space usage: 964046848 bytes/919MB} {rss usage: 277524480 bytes/264MB} [pid: 28136|app: 0|req: 37/48] 182.2.135.93 () {56 vars in 1456 bytes} [Wed Aug  4 14:41:58 2021] GET /a/query/drpGetJenisPenerima => generated 671 bytes in 25 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 5)"
48,47,"{address space usage: 747651072 bytes/713MB} {rss usage: 195473408 bytes/186MB} [pid: 28080|app: 0|req: 4/49] 182.2.135.93 () {56 vars in 1483 bytes} [Wed Aug  4 14:41:58 2021] GET /a/query/drpGetLogisticRole?login=WAX23515 => generated 1806 bytes in 156 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 3)"
49,48,"{address space usage: 747651072 bytes/713MB} {rss usage: 199704576 bytes/190MB} [pid: 28080|app: 0|req: 4/50] 120.188.2.111 () {50 vars in 1856 bytes} [Wed Aug  4 14:41:58 2021] GET /a/3pl/csn?id=JEJYE77R&register=0&location=645&latitude=-6.1106626&longitude=106.8943664&reference=TML%2FWAX23856%40645 => generated 43679 bytes in 870 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 6)"
50,49,"{address space usage: 964046848 bytes/919MB} {rss usage: 277647360 bytes/264MB} [pid: 28136|app: 0|req: 38/51] 36.68.53.225 () {54 vars in 900 bytes} [Wed Aug  4 14:41:59 2021] POST /a/auth => generated 576 bytes in 24 msecs (HTTP/1.1 200) 4 headers in 677 bytes (0 switches on core 2)"
51,50,"{address space usage: 964317184 bytes/919MB} {rss usage: 278212608 bytes/265MB} [pid: 28136|app: 0|req: 41/52] 36.68.53.225 () {54 vars in 1683 bytes} [Wed Aug  4 14:42:00 2021] GET /a/3pl/dash/kpi/courier/WAX24625 => generated 233 bytes in 351 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 7)"
52,51,"{address space usage: 964317184 bytes/919MB} {rss usage: 278528000 bytes/265MB} [pid: 28136|app: 0|req: 41/53] 180.244.167.204 () {48 vars in 1644 bytes} [Wed Aug  4 14:42:00 2021] GET /a/3pl/csn?id=RNCJFTJ6&detail=1 => generated 13287 bytes in 763 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 0)"
53,52,"{address space usage: 964317184 bytes/919MB} {rss usage: 278634496 bytes/265MB} [pid: 28136|app: 0|req: 41/54] 114.79.6.21 () {54 vars in 1712 bytes} [Wed Aug  4 14:42:00 2021] GET /a/3pl/csn?id=PTF3LAPD&detail=1 => generated 59862 bytes in 783 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 3)"
54,53,"{address space usage: 964317184 bytes/919MB} {rss usage: 278700032 bytes/265MB} [pid: 28136|app: 0|req: 42/55] 223.255.230.52 () {46 vars in 1262 bytes} [Wed Aug  4 14:42:02 2021] GET /a/query/drpGetJenisPenerima => generated 671 bytes in 18 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 4)"
55,54,"{address space usage: 680542208 bytes/649MB} {rss usage: 185573376 bytes/176MB} [pid: 28128|app: 0|req: 3/56] 223.255.230.52 () {46 vars in 1289 bytes} [Wed Aug  4 14:42:02 2021] GET /a/query/drpGetLogisticRole?login=WAX24378 => generated 1802 bytes in 135 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 1)"
56,55,"{address space usage: 964509696 bytes/919MB} {rss usage: 286498816 bytes/273MB} [pid: 28136|app: 0|req: 44/57] 182.0.141.141 () {66 vars in 2010 bytes} [Wed Aug  4 14:42:04 2021] POST /a/3pl/trn/dml => generated 235 bytes in 160 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 6)"
57,56,"{address space usage: 964509696 bytes/919MB} {rss usage: 286826496 bytes/273MB} [pid: 28136|app: 0|req: 44/58] 140.213.13.127 () {58 vars in 1552 bytes} [Wed Aug  4 14:42:04 2021] GET /a/3pl/csn/cur/WAX23796?consignmentId=14ebp9wx&referenceType=64&detail=1 => generated 266 bytes in 582 msecs (HTTP/1.1 400) 2 headers in 173 bytes (0 switches on core 5)"
58,57,"{address space usage: 964509696 bytes/919MB} {rss usage: 286900224 bytes/273MB} [pid: 28136|app: 0|req: 45/59] 114.4.222.134 () {60 vars in 1915 bytes} [Wed Aug  4 14:42:05 2021] GET /a/query/drpGetEmpByEmpId?empcd=69210946&coycd=WAX => generated 595 bytes in 21 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 2)"
59,58,"{address space usage: 964509696 bytes/919MB} {rss usage: 287211520 bytes/273MB} [pid: 28136|app: 0|req: 47/60] 180.252.117.33 () {58 vars in 1425 bytes} [Wed Aug  4 14:42:07 2021] GET /a/query/dcafGetAppMenu => generated 9513 bytes in 15 msecs (HTTP/1.1 200) 3 headers in 217 bytes (0 switches on core 0)"
60,59,"{address space usage: 964509696 bytes/919MB} {rss usage: 287211520 bytes/273MB} [pid: 28136|app: 0|req: 48/61] 120.188.35.233 () {64 vars in 1193 bytes} [Wed Aug  4 14:42:07 2021] POST /a/auth => generated 579 bytes in 22 msecs (HTTP/1.1 200) 4 headers in 680 bytes (0 switches on core 3)"
61,60,"{address space usage: 964509696 bytes/919MB} {rss usage: 287211520 bytes/273MB} [pid: 28136|app: 0|req: 49/62] 180.244.167.204 () {48 vars in 1644 bytes} [Wed Aug  4 14:42:07 2021] GET /a/3pl/csn?id=RNCJFTJ6&detail=1 => generated 13287 bytes in 699 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 7)"
62,61,"{address space usage: 964509696 bytes/919MB} {rss usage: 287596544 bytes/274MB} [pid: 28136|app: 0|req: 51/63] 120.188.35.233 () {60 vars in 1888 bytes} [Wed Aug  4 14:42:08 2021] GET /a/3pl/dash/kpi/courier/WAX23573 => generated 240 bytes in 401 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 4)"
63,62,"{address space usage: 964509696 bytes/919MB} {rss usage: 287596544 bytes/274MB} [pid: 28136|app: 0|req: 51/64] 140.213.13.127 () {58 vars in 1552 bytes} [Wed Aug  4 14:42:08 2021] GET /a/3pl/csn/cur/WAX23796?consignmentId=14ebp9wc&referenceType=64&detail=1 => generated 28639 bytes in 849 msecs (HTTP/1.1 200) 3 headers in 220 bytes (0 switches on core 1)"
